term;c1;c2;c3;c4;pwc1;pwc2;pwc3;pwc4;pc1;pc2;pc3;pc4
 hormone ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 profile ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 define ;1;0;1;0;0.000423728813559322;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 ross ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 class ;3;2;6;0;0.000847457627118644;0.0012652889076339097;0.0012041974883880955;0.00028901734104046245;21;3;24;9
 robust ;2;0;1;0;0.000635593220338983;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 consumption ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 optimisation ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 say ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 microscopy ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 colour ;1;0;1;0;0.000423728813559322;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 seidel ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 retinoscopy ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 interpolation ;0;0;3;5;0.000211864406779661;0.00042176296921130323;0.0006881128505074832;0.0017341040462427746;21;3;24;9
 flom ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 incremental ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 doping ;0;0;5;0;0.000211864406779661;0.00042176296921130323;0.001032169275761225;0.00028901734104046245;21;3;24;9
 target ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 robustness ;0;0;4;0;0.000211864406779661;0.00042176296921130323;0.000860141063134354;0.00028901734104046245;21;3;24;9
 histogram ;0;0;1;2;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.0008670520231213873;21;3;24;9
 correlation ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 x ;0;0;3;0;0.000211864406779661;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 fingerprint ;0;0;5;0;0.000211864406779661;0.00042176296921130323;0.001032169275761225;0.00028901734104046245;21;3;24;9
 i ;3;0;0;0;0.000847457627118644;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 yiq ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 moments ;13;0;9;0;0.0029661016949152543;0.00042176296921130323;0.001720282126268708;0.00028901734104046245;21;3;24;9
 energy ;1;0;15;0;0.000423728813559322;0.00042176296921130323;0.0027524514020299327;0.00028901734104046245;21;3;24;9
 running ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 order ;9;0;10;1;0.00211864406779661;0.00042176296921130323;0.0018923103388955788;0.0005780346820809249;21;3;24;9
 priori ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 shown ;2;0;1;2;0.000635593220338983;0.00042176296921130323;0.0003440564252537416;0.0008670520231213873;21;3;24;9
 mml ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 variance ;0;0;2;1;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.0005780346820809249;21;3;24;9
 extensions ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 viewed ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 reported ;1;0;3;0;0.000423728813559322;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 represents ;1;0;1;0;0.000423728813559322;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 explored ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 metropolis ;0;0;0;2;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0008670520231213873;21;3;24;9
 remaining ;0;0;2;0;0.000211864406779661;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 ocr ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 difficulties ;1;0;2;0;0.000423728813559322;0.00042176296921130323;0.0005160846378806125;0.00028901734104046245;21;3;24;9
 wiener ;0;0;0;3;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0011560693641618498;21;3;24;9
 unfortunately ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 recall ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 consists ;3;0;0;0;0.000847457627118644;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 unreliable ;0;1;0;0;0.000211864406779661;0.0008435259384226065;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 compression ;4;1;4;4;0.001059322033898305;0.0008435259384226065;0.000860141063134354;0.001445086705202312;21;3;24;9
 comparative ;1;0;1;0;0.000423728813559322;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 eclvq ;2;0;0;0;0.000635593220338983;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 research ;1;0;3;0;0.000423728813559322;0.00042176296921130323;0.0006881128505074832;0.00028901734104046245;21;3;24;9
 preserve ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 examine ;0;0;1;0;0.000211864406779661;0.00042176296921130323;0.0003440564252537416;0.00028901734104046245;21;3;24;9
 greatly ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 applicability ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 social ;1;0;0;0;0.000423728813559322;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
 follow ;0;0;0;1;0.000211864406779661;0.00042176296921130323;0.0001720282126268708;0.0005780346820809249;21;3;24;9
 j ;4;0;0;0;0.001059322033898305;0.00042176296921130323;0.0001720282126268708;0.00028901734104046245;21;3;24;9
